                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1401,                 1.7003,                 3.9757,                0.90583,                0.06236,                0.26939,                0.07607,                0.03668,                0.06745,                0.34457,                0.08422,                0.04534,                0.89893,                 1.3379,                 4.1362,                0.82953,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.0093,                 1.1809,                 3.0478,                0.84698,                0.05864,                0.37253,                 0.1101,                0.05333,                0.06359,                0.43386,                0.11934,                0.05833,                0.81497,                 1.0568,                 4.0516,                0.81814,             0.00059792,             0.00059792,             0.00059792
                      3,                0.90883,                 1.0253,                  1.995,                0.83441,                0.07513,                0.55094,                0.33262,                0.24535,                0.07771,                0.59052,                0.33924,                 0.2264,                0.74568,                0.89925,                 3.5057,                0.81659,             0.00088357,             0.00088357,             0.00088357
                      4,                0.87903,                 1.0346,                 1.4149,                0.83563,                0.76426,                0.43405,                0.71727,                0.57596,                0.76161,                 0.4316,                0.71706,                0.47387,                0.68015,                0.83453,                  2.272,                0.81485,              0.0009406,              0.0009406,              0.0009406
                      5,                0.81776,                0.97081,                  1.209,                0.82701,                0.68885,                0.72778,                0.76678,                0.63411,                0.68726,                0.72625,                0.76518,                0.49265,                0.65659,                0.79503,                 1.3671,                0.81049,              0.0009208,              0.0009208,              0.0009208
                      6,                0.74067,                0.90347,                 1.0559,                0.82367,                0.73202,                0.80919,                0.83631,                0.70431,                0.73091,                0.80829,                0.83553,                0.58517,                0.62073,                0.73889,                0.93773,                0.80624,               0.000901,               0.000901,               0.000901
                      7,                0.71612,                0.85898,                0.93556,                0.82012,                0.87542,                0.84531,                0.91999,                0.78997,                0.87528,                0.84448,                0.91903,                0.62585,                0.57922,                0.68801,                0.77129,                0.80056,              0.0008812,              0.0008812,              0.0008812
                      8,                0.68593,                0.82669,                0.84376,                0.81488,                0.93166,                0.91465,                0.96006,                0.84316,                0.93105,                0.91413,                0.96022,                0.64791,                0.52689,                0.65108,                0.67853,                0.79521,              0.0008614,              0.0008614,              0.0008614
                      9,                0.65529,                0.80817,                0.76952,                0.81193,                0.95496,                0.92699,                0.97338,                0.85579,                 0.9539,                0.92588,                0.97197,                0.65548,                0.51909,                 0.6573,                0.63121,                0.79393,              0.0008416,              0.0008416,              0.0008416
                     10,                0.62753,                0.76406,                0.71929,                0.80845,                0.94734,                0.94691,                0.98024,                0.84957,                0.94699,                0.94659,                0.98055,                0.69094,                0.55167,                0.63584,                0.60725,                0.79609,              0.0008218,              0.0008218,              0.0008218
                     11,                0.63315,                0.75626,                0.69183,                0.80914,                0.95705,                0.95767,                0.98647,                 0.8647,                0.95636,                0.95696,                0.98621,                0.70437,                0.53015,                0.64532,                0.58158,                0.79447,               0.000802,               0.000802,               0.000802
                     12,                0.61676,                0.74857,                0.66394,                0.80818,                0.94685,                0.96913,                0.98471,                0.86075,                0.94577,                0.96801,                0.98351,                0.63456,                0.53427,                0.80663,                0.56897,                0.79476,              0.0007822,              0.0007822,              0.0007822
                     13,                0.63551,                 0.7746,                0.65856,                0.80967,                0.95193,                0.97209,                0.98467,                0.86669,                0.95141,                0.97158,                0.98513,                0.68307,                0.51522,                0.66521,                0.54954,                0.79405,              0.0007624,              0.0007624,              0.0007624
                     14,                0.60886,                0.73262,                0.63195,                0.80628,                0.95886,                0.97691,                0.98925,                0.88778,                0.95797,                0.97599,                0.98865,                0.67984,                0.47233,                0.61323,                 0.5188,                0.79099,              0.0007426,              0.0007426,              0.0007426
